IdSensore	Tipologia	Unità DiMisura	IdStazione	NomeStazione	Quota	Provincia	DataStart	DataStop	Storico	UTM_Nord	UTM_Est	lng	lat	location
4085	Radiazione Globale	W/m²	150	Pieve San Giacomo	39	CR	04/07/2002		N	4997168	593999	10.195182889569637	45.121730206732785	(45.121730206732785, 10.195182889569637)
9027	Temperatura	°C	1206	Cavaria con Premezzo v. Cantalupa	274	VA	01/01/2004		N	5059567	485026	8.807691068181894	45.68949337565816	(45.68949337565816, 8.807691068181894)
2384	Radiazione Globale	W/m²	127	Casatenovo tetto	360	LC	10/11/2003		N	5060979	524066	9.309144812286515	45.70194614072786	(45.70194614072786, 9.309144812286515)
2103	Precipitazione	mm	107	Sondrio Fond.Fojanini	307	SO	29/01/2001		N	5112796	565505	9.848500587178327	46.16559148475932	(46.16559148475932, 9.848500587178327)
14019	Radiazione Globale	W/m²	1077	Oltre il Colle Zambla	1138	BG	13/01/2012		N	5082261	561209	9.78893967466926	45.891193045896635	(45.891193045896635, 9.78893967466926)
11671	Velocità Vento	m/s	1273	Val Masino Bagni	1191	SO	02/04/2012		N	5121270	545980	9.596430583118106	46.24345094940859	(46.24345094940859, 9.596430583118106)
32404	Umidità Relativa	%	1680	Vilminore di Scalve Presolana	1856	BG	15/11/2017		N	5092483	580679	10.041578002405918	45.98117244427475	(45.98117244427475, 10.041578002405918)
8146	Temperatura	°C	824	Clusone Campo Sportivo	591	BG	21/11/2001	21/07/2015	S	5081860	573451	9.94664890837357	45.88638608740617	(45.88638608740617, 9.94664890837357)
4043	Umidità Relativa	%	145	Darfo Boario Terme	222	BS	06/06/2002		N	5080789	591371	10.17735680898138	45.87460210989037	(45.87460210989037, 10.17735680898138)
5883	Temperatura	°C	575	Nibionno	310	LC	03/12/2002		N	5066429	520613	9.265020964805544	45.751111261617815	(45.751111261617815, 9.265020964805544)
6433	Radiazione Globale	W/m²	582	Bergamo v.S.Giorgio	249	BG	01/01/1989	14/04/2010	S	5058641	552746	9.677286764680007	45.67931285015467	(45.67931285015467, 9.677286764680007)
19243	Velocità Vento	m/s	502	Milano v.Juvara	122	MI	28/02/2014		N	5035546	517377	9.222315138737468	45.473225708577175	(45.473225708577175, 9.222315138737468)
14257	Temperatura	°C	1346	Campodolcino Alpe Motta	1880	SO	17/10/2012		N	5141127	528341	9.368831613649158	46.42312127327754	(46.42312127327754, 9.368831613649158)
